# Bin Centers,Abs Mean Error,Observations
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.443235753999298959e-03,2.000000000000000000e+00
7.000000000000000666e-01,2.902021134472487773e-02,5.000000000000000000e+00
9.000000000000000222e-01,8.609832084214106729e+00,5.100000000000000000e+01
1.100000000000000089e+00,8.525335357250019896e+00,7.400000000000000000e+01
1.300000000000000044e+00,5.400557287642929971e+00,6.500000000000000000e+01
1.500000000000000000e+00,3.846602872253213623e-01,1.200000000000000000e+01
1.700000000000000178e+00,5.650082696631683055e-01,1.700000000000000000e+01
1.900000000000000133e+00,4.973579796294416017e-02,1.000000000000000000e+01
2.100000000000000089e+00,7.773829482004886160e-02,8.000000000000000000e+00
