# Bin Centers,Abs Mean Error,Observations
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,2.443235753999298959e-03,2.000000000000000000e+00
6.500000000000000222e-01,2.918309372832454673e-02,2.000000000000000000e+00
7.500000000000000000e-01,2.891162308899176969e-02,3.000000000000000000e+00
8.500000000000000888e-01,8.745900127627781018e+00,1.000000000000000000e+01
9.500000000000000666e-01,8.576644756552235904e+00,4.100000000000000000e+01
1.050000000000000044e+00,8.915312456555389176e+00,3.300000000000000000e+01
1.150000000000000133e+00,8.211451350492035672e+00,4.100000000000000000e+01
1.250000000000000000e+00,6.917613186074032861e+00,3.400000000000000000e+01
1.350000000000000089e+00,3.736689528073331878e+00,3.100000000000000000e+01
1.450000000000000178e+00,3.725465965983039696e-01,7.000000000000000000e+00
1.550000000000000044e+00,4.016194541031458121e-01,5.000000000000000000e+00
1.650000000000000133e+00,7.576219109790655049e-01,8.000000000000000000e+00
1.750000000000000000e+00,3.937961440490377329e-01,9.000000000000000000e+00
1.850000000000000089e+00,6.263949375501645656e-02,5.000000000000000000e+00
1.950000000000000178e+00,3.683210217087186378e-02,5.000000000000000000e+00
2.050000000000000266e+00,7.537188393488408744e-02,4.000000000000000000e+00
