# Bin Centers,Abs Mean Error,Observations
1.000000000000000056e-01,0.000000000000000000e+00,6.000000000000000000e+00
3.000000000000000444e-01,3.019110224555845295e-02,2.000000000000000000e+00
5.000000000000000000e-01,4.095855829117721336e-02,1.100000000000000000e+01
7.000000000000000666e-01,5.480846253809069923e-02,5.000000000000000000e+00
9.000000000000000222e-01,1.245917114612011822e+01,7.100000000000000000e+01
1.100000000000000089e+00,1.505437375192598815e+01,8.400000000000000000e+01
1.300000000000000044e+00,1.171141305127658150e+01,2.200000000000000000e+01
1.500000000000000000e+00,5.138064157755327876e+00,1.800000000000000000e+01
1.700000000000000178e+00,2.948353807245286173e+00,1.100000000000000000e+01
1.900000000000000133e+00,7.321364386665613289e+00,4.000000000000000000e+00
2.100000000000000089e+00,1.409477860929039483e+00,1.000000000000000000e+00
2.300000000000000266e+00,1.794350896133089623e+00,1.000000000000000000e+00
2.500000000000000000e+00,2.322392480427604156e-02,1.000000000000000000e+00
2.700000000000000178e+00,5.371817866656343199e-01,4.000000000000000000e+00
2.900000000000000355e+00,4.649042680402584726e-01,5.000000000000000000e+00
3.100000000000000089e+00,1.842431367805874576e-01,2.000000000000000000e+00
3.300000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+00,2.701716585564070128e-01,2.000000000000000000e+00
