# Bin Centers,Abs Mean Error,Observations
1.000000000000000056e-01,4.654110658601042644e-02,1.600000000000000000e+01
3.000000000000000444e-01,9.088937595564127170e-01,1.400000000000000000e+01
5.000000000000000000e-01,4.050343493682243556e-01,1.900000000000000000e+01
7.000000000000000666e-01,5.352391923066940338e-01,1.200000000000000000e+01
9.000000000000000222e-01,7.955808408889696537e+00,1.500000000000000000e+01
1.100000000000000089e+00,2.736362966222254656e+01,3.500000000000000000e+01
1.300000000000000044e+00,1.796217659286939039e+01,3.600000000000000000e+01
1.500000000000000000e+00,8.677715161349293993e+00,2.000000000000000000e+01
1.700000000000000178e+00,1.065023314330846382e+01,1.000000000000000000e+01
1.900000000000000133e+00,1.050659688035186790e+01,1.000000000000000000e+01
2.100000000000000089e+00,9.579134353535804225e-01,4.000000000000000000e+00
2.300000000000000266e+00,9.068736625068476442e-01,8.000000000000000000e+00
2.500000000000000000e+00,5.794189931028542739e-01,8.000000000000000000e+00
2.700000000000000178e+00,4.753753152293836992e-01,5.000000000000000000e+00
2.900000000000000355e+00,7.521401136809673371e-01,5.000000000000000000e+00
3.100000000000000089e+00,9.322448431584475781e-01,4.000000000000000000e+00
3.300000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+00,1.034627373695236274e+00,2.000000000000000000e+00
3.700000000000000178e+00,9.958980067654653601e-01,2.000000000000000000e+00
