# Bin Centers,Abs Mean Error,Observations
1.000000000000000056e-01,0.000000000000000000e+00,1.200000000000000000e+01
3.000000000000000444e-01,1.758057284897636963e-01,7.000000000000000000e+00
5.000000000000000000e-01,6.809542134314863215e-01,1.100000000000000000e+01
7.000000000000000666e-01,7.536370811164164740e-01,1.200000000000000000e+01
9.000000000000000222e-01,3.341195022725804709e+00,1.800000000000000000e+01
1.100000000000000089e+00,2.080216248897593090e+01,3.400000000000000000e+01
1.300000000000000044e+00,9.241251442728378507e+00,3.300000000000000000e+01
1.500000000000000000e+00,3.789093508888245587e+00,3.200000000000000000e+01
1.700000000000000178e+00,6.188681313642269366e+00,2.200000000000000000e+01
1.900000000000000133e+00,4.294987241188860105e-01,1.000000000000000000e+01
2.100000000000000089e+00,3.309642167985139549e-01,7.000000000000000000e+00
2.300000000000000266e+00,1.162321500676423147e+00,5.000000000000000000e+00
2.500000000000000000e+00,2.000740159884743519e-01,4.000000000000000000e+00
2.700000000000000178e+00,5.561026424358823661e-01,4.000000000000000000e+00
2.900000000000000355e+00,3.506896484480035991e-01,3.000000000000000000e+00
3.100000000000000089e+00,1.232078011463249911e+00,1.000000000000000000e+00
3.300000000000000266e+00,4.945340082122576253e-01,4.000000000000000000e+00
3.500000000000000000e+00,5.574648051866537557e-01,2.000000000000000000e+00
3.700000000000000178e+00,4.504154041906648365e-01,2.000000000000000000e+00
3.900000000000000355e+00,4.746530044161717532e-01,2.000000000000000000e+00
